method,seed,step,test_error,reward,backward_frac,loss
PG,2,7600,0.040499985218048096,0.9800000190734863,1.0,-0.0005250234971754253
PG,2,7700,0.03829997777938843,0.9599999785423279,1.0,-0.0010698467958718538
PG,2,7800,0.03939998149871826,0.9800000190734863,1.0,-0.001690394594334066
PG,2,7900,0.0396999716758728,0.9800000190734863,1.0,-0.002039362443611026
PG,2,8000,0.038900017738342285,0.9399999976158142,1.0,0.008267555385828018
PG,2,8100,0.03700000047683716,0.9700000286102295,1.0,-0.023138754069805145
PG,2,8200,0.040199995040893555,0.9800000190734863,1.0,0.0008084259461611509
PG,2,8300,0.036499977111816406,0.9399999976158142,1.0,-0.03321576490998268
PG,2,8400,0.03509998321533203,0.9300000071525574,1.0,-0.0037710771430283785
PG,2,8500,0.036400020122528076,0.9100000262260437,1.0,-0.010818067006766796
PG,2,8600,0.03479999303817749,0.9800000190734863,1.0,-0.0009461527806706727
PG,2,8700,0.0339999794960022,0.9900000095367432,1.0,0.005116711836308241
PG,2,8800,0.034399986267089844,0.9599999785423279,1.0,-0.004619242623448372
PG,2,8900,0.03450000286102295,0.9900000095367432,1.0,0.00727009167894721
PG,2,9000,0.03600001335144043,0.9399999976158142,1.0,-0.006968868430703878
PG,2,9100,0.036499977111816406,0.9599999785423279,1.0,-0.002464217832311988
PG,2,9200,0.033699989318847656,0.9800000190734863,1.0,0.003047288628295064
PG,2,9300,0.03380000591278076,0.9800000190734863,1.0,-0.0027885616291314363
PG,2,9400,0.033100008964538574,1.0,1.0,0.0005360250361263752
PG,2,9500,0.036400020122528076,0.9900000095367432,1.0,-0.0005217278376221657
PG,2,9600,0.038600027561187744,0.9599999785423279,1.0,-0.043436311185359955
PG,2,9700,0.03380000591278076,0.9700000286102295,1.0,-0.0028921677730977535
PG,2,9800,0.036199986934661865,1.0,1.0,2.3079721358953975e-05
PG,2,9900,0.033699989318847656,0.9900000095367432,1.0,0.0037536921445280313
PG,2,9999,0.03320002555847168,0.9900000095367432,1.0,-0.0022329422645270824
PG,3,0,0.8258000016212463,0.07999999821186066,1.0,-0.04658341780304909
PG,3,100,0.3052999973297119,0.5899999737739563,1.0,-0.13792848587036133
PG,3,200,0.18730002641677856,0.8199999928474426,1.0,-0.15551799535751343
PG,3,300,0.17299997806549072,0.8399999737739563,1.0,-0.04573412984609604
PG,3,400,0.16659998893737793,0.8799999952316284,1.0,-0.06418383866548538
PG,3,500,0.11210000514984131,0.8799999952316284,1.0,-0.01709054782986641
PG,3,600,0.10750001668930054,0.8899999856948853,1.0,-0.06843896210193634
PG,3,700,0.09810000658035278,0.8899999856948853,1.0,-0.0627211481332779
PG,3,800,0.08829998970031738,0.8999999761581421,1.0,-0.029715437442064285
PG,3,900,0.08590000867843628,0.8799999952316284,1.0,-0.02641701139509678
PG,3,1000,0.08469998836517334,0.8999999761581421,1.0,-0.05311080068349838
PG,3,1100,0.07829999923706055,0.8999999761581421,1.0,-0.050430625677108765
PG,3,1200,0.07959997653961182,0.8999999761581421,1.0,-0.02343277633190155
PG,3,1300,0.07480001449584961,0.8999999761581421,1.0,-0.06438199430704117
PG,3,1400,0.07709997892379761,0.8899999856948853,1.0,-0.07940538227558136
PG,3,1500,0.07480001449584961,0.949999988079071,1.0,-0.007914131507277489
PG,3,1600,0.07959997653961182,0.9100000262260437,1.0,-0.02498638816177845
PG,3,1700,0.07169997692108154,0.8899999856948853,1.0,-0.028327906504273415
PG,3,1800,0.07389998435974121,0.8899999856948853,1.0,-0.01049982663244009
PG,3,1900,0.07499998807907104,0.9100000262260437,1.0,-0.030757484957575798
PG,3,2000,0.07499998807907104,0.9200000166893005,1.0,-0.004687544424086809
PG,3,2100,0.06929999589920044,0.9599999785423279,1.0,-0.024955684319138527
PG,3,2200,0.06849998235702515,0.9300000071525574,1.0,-0.002459227805957198
PG,3,2300,0.06639999151229858,0.9200000166893005,1.0,-0.014198140241205692
PG,3,2400,0.06499999761581421,0.9700000286102295,1.0,-0.0038653528317809105
PG,3,2500,0.06849998235702515,0.9599999785423279,1.0,0.003989479038864374
PG,3,2600,0.06279999017715454,0.949999988079071,1.0,-0.005574078764766455
PG,3,2700,0.0625,0.9599999785423279,1.0,0.007256821263581514
PG,3,2800,0.062399983406066895,0.9399999976158142,1.0,0.0002227610384579748
PG,3,2900,0.06029999256134033,0.9399999976158142,1.0,0.010255789384245872
PG,3,3000,0.06050002574920654,0.9700000286102295,1.0,0.001250988687388599
PG,3,3100,0.05629998445510864,0.9399999976158142,1.0,-0.026276372373104095
PG,3,3200,0.0559999942779541,0.9700000286102295,1.0,-0.019074544310569763
PG,3,3300,0.058300018310546875,0.9399999976158142,1.0,-0.053200334310531616
PG,3,3400,0.05110001564025879,0.9599999785423279,1.0,-0.0012426174944266677
PG,3,3500,0.058600008487701416,0.9800000190734863,1.0,-0.0005362134543247521
PG,3,3600,0.05010002851486206,0.949999988079071,1.0,-0.003998076543211937
PG,3,3700,0.05290001630783081,0.9599999785423279,1.0,0.005829308182001114
PG,3,3800,0.05049997568130493,0.9700000286102295,1.0,-0.0021054516546428204
PG,3,3900,0.05169999599456787,0.9800000190734863,1.0,-0.006901388987898827
PG,3,4000,0.049799978733062744,0.9700000286102295,1.0,-0.005053946748375893
PG,3,4100,0.051299989223480225,0.9300000071525574,1.0,-0.023690342903137207
PG,3,4200,0.05419999361038208,0.9399999976158142,1.0,-0.01108323223888874
PG,3,4300,0.04809999465942383,0.9399999976158142,1.0,-0.014206978492438793
PG,3,4400,0.04860001802444458,0.949999988079071,1.0,-0.024701179936528206
